,tweet,created_at
0,"From following the Trump money trail to figuring out what ACTUALLY happens when you eat Tide Pods, we told the biggest stories that mattered to you this year https://www.buzzfeednews.com/article/maggieschultz/buzzfeed-news-biggest-stories-of-2018?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546300560000
1,🤢🤢🤢🤢 https://www.buzzfeednews.com/article/venessawong/food-illness-outbreaks-2018?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546299240000
2,A DoubleTree hotel has fired two employees after they called the police on a black guest who was talking to his mom on the phone and kicked him out https://www.buzzfeednews.com/article/skbaer/doubletree-portland-black-man-kicked-out?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546297680000
3,Here's what we recommend you check out in 2019 https://www.buzzfeednews.com/article/katienotopoulos/best-tech-apps-hacks-picks-2018?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546296480000
4,we'll always have the memes https://www.buzzfeednews.com/article/juliareinstein/2018-memes?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546295220000
5,"""I love the fact that so many of us got out and voted"": @angelayee says women of color winning big in the elections in 2018 filled her with the most black pride this year ✊🏾🗳  Catch #HellaOpinions live Wednesdays at 9pm ET, right here on Twitter 🍹 pic.twitter.com/FxLM1Tsxlv",1546293660000
6,Has any year been more tiring than 2018? 😰 https://www.buzzfeednews.com/article/scaachikoul/2018-year-end-exhaustion?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546292290000
7,"Disturbing video shows immigrant children being slapped, pushed, and dragged in Arizona detention facility https://www.buzzfeednews.com/article/salvadorhernandez/disturbing-video-shows-migrant-children-slapped-pushed-and?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546291193000
8,This is what happens to your body when you drink 🍻 pic.twitter.com/8oiMuf3KN5,1546290000000
9,"Instagram and YouTube star Cameron Dallas was arrested after allegedly punching a man at an Aspen, Colorado, hotel https://www.buzzfeednews.com/article/salvadorhernandez/instagram-and-youtube-star-cameron-dallas-arrested-after?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546289606000
10,Audio emerged of Louis C.K. joking about Parkland shooting survivors and mocking teens who use gender neutral pronouns during a recent stand-up set https://www.buzzfeednews.com/article/patricksmith/louis-ck-mocks-parkland-shooting-survivors-asian-men-and?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546286964000
11,"A US citizen has been arrested in Moscow on suspicion of spying, Russian authorities say. https://www.buzzfeednews.com/article/patricksmith/a-us-citizen-has-been-arrested-on-spying-charges-in-moscow?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546286634000
12,"Migrant children were dragged and pushed by staffers at a shelter in Arizona, prompting local authorities to consider criminal charges after video of the incidents were obtained by @azcentral  https://www.buzzfeednews.com/article/salvadorhernandez/disturbing-video-shows-migrant-children-slapped-pushed-and?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546282723000
13,"Kiera Bergman, 19 Jholie Moussa, 16 LaShonda Childs, 17 Karyme Barreto-Sabalza, 18 Sabrina Herrera, 19 Kiara Brown, 18 Breana Rouhselang, 17 Rosaura Hernandez, 18 Jaelynn Willey, 16 Tysiona Crawford, 17 https://www.buzzfeednews.com/article/stephaniemcneal/teen-girls-allegedly-killed-boyfriends-exes-2018?ref=bfnsplash&bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546280175000
14,See you never 2018 👋 https://www.buzzfeednews.com/article/katienotopoulos/50-worst-things-on-the-internet-in-2018?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546279394000
15,Zines have long been a way for marginalized communities to record their stories and organize. Zine libraries are making sure those histories aren't forgotten. https://www.buzzfeednews.com/article/rosieoknight/zines-libraries-marginalized-voices?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546277085000
16,Here are the stories of 10 teenagers allegedly killed by their boyfriends this year  https://www.buzzfeednews.com/article/stephaniemcneal/teen-girls-allegedly-killed-boyfriends-exes-2018?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546275604000
17,36 photos of the royal family doing royal things in 2018  https://www.buzzfeed.com/lauragallant/photos-of-the-royal-family-doing-royal-things-in-2018?bftwnews&utm_term=4ldqpgc#4ldqpgc … pic.twitter.com/mDnHB0bJEw,1546273789000
18,"Padma Lakshmi dished on what makes ""Top Chef"" so good, her favorite food, and more ✨ Watch her full interview on PROFILE:  http://facebook.com/profilebuzzfeednews … pic.twitter.com/g6cuFInNZI",1546272000000
19,These are some of the most challenging and interesting assignments our photo editors faced in 2018  https://www.buzzfeednews.com/article/katebubacz/photos-immigration-gun-violence-bdsm-2018?bftwnews&utm_term=4ldqpgc#4ldqpgc … pic.twitter.com/FpVqWWNVAT,1546271450000
20,"NGOs, charities and legal experts have condemned the reaction to Britain's Home Secretary declaring a ""major incident"" after there was a small increase in the number of boats illegally crossing the English Channel https://www.buzzfeednews.com/article/rosebuchanan/migrants-english-channel-crossing?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546269394000
21,"Elizabeth Warren is forming an exploratory committee ahead of the 2020 presidential election, becoming the first Democrat with a national profile to take concrete steps towards a run https://www.buzzfeednews.com/article/ryancbrooks/elizabeth-warren-running-president?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546268439000
22,"This story about befriending a woman who died at 101 has inspired people to be more friendly in 2019, especially to older people https://www.buzzfeed.com/patricksmith/this-womans-story-about-befriending-an-elderly-woman-is?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546267933000
23,"A US citizen has been arrested in Moscow on suspicion of spying, Russian authorities say https://www.buzzfeednews.com/article/patricksmith/a-us-citizen-has-been-arrested-on-spying-charges-in-moscow?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546265473000
24,"The internet has 👀celebrities like Future and Offset quite a bit this year. But who deserves the ""Men Are Trash"" award of the year? 🏆🗑  Catch #HellaOpinions live Wednesdays at 9pm ET, right here on Twitter 🍹 pic.twitter.com/aVmMxmEKdz",1546264860000
25,"A California women's march was canceled over concerns that it was ""overwhelmingly white"" https://www.buzzfeednews.com/article/briannasacks/a-california-womens-march-overwhelmingly-white?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546264526000
26,A lion has been shot dead after it killed a 22-year-old zoo intern https://www.buzzfeednews.com/article/claudiakoerner/a-lion-has-been-shot-dead-after-it-killed-a-zoo-employee?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546263060000
27,"President Donald Trump is testing the limits of the US legal system, and that's tiring https://www.buzzfeednews.com/article/chrisgeidner/the-law-was-front-and-center-in-2018-because-trumps-actions?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546261672000
28,"Top Chef host Padma Lakshmi opened up about the show, her fight to raise awareness about endometriosis, and her own #MeToo story in a new episode of Profile. https://www.buzzfeednews.com/article/michaelblackmon/padma-lakshmi-profile?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546259400000
29,Here's a look back at some of the most influential people who died in 2018 https://www.buzzfeednews.com/article/gabrielsanchez/photo-obituary-celebrity-2018?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546257720000
30,"A Women's March in California has been canceled over organizers' concerns that the event would be ""overwhelmingly white.""  https://www.buzzfeednews.com/article/briannasacks/a-california-womens-march-overwhelmingly-white?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546255862000
31,Zines have long been a way for marginalized communities to record their stories and organize. Zine libraries are making sure those histories aren't forgotten. https://www.buzzfeednews.com/article/rosieoknight/zines-libraries-marginalized-voices?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546254060000
32,"The Chinese government expanded its crackdown on religion over the weekend, with hundreds of police officers storming three mosques and forcibly evicting hundreds of worshippers in the southwest province of Yunnan. https://www.buzzfeednews.com/article/williamyang/chinese-police-have-raided-mosques-in-a-new-crackdown-on?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546252380000
33,The legality of Trump's actions has come under question several times in 2018  https://www.buzzfeednews.com/article/chrisgeidner/the-law-was-front-and-center-in-2018-because-trumps-actions?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546252380000
34,A woman facing deportation says she's faced an uphill and unfair battle in the nation's immigration court system since she entered the country in 2007 when she was 16. https://www.buzzfeednews.com/article/adolfoflores/woman-deportation-asylum-rape-language?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546250580000
35,Twitter did not disappoint 🙃 https://www.buzzfeednews.com/article/stephaniemcneal/christmas-2018-weirdest-gifts?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546248840000
36,This woman only discovered she was intersex after watching a viral video about it https://www.buzzfeed.com/patrickstrudwick/this-woman-only-discovered-she-was-intersex-after-watching?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546246980000
37,An Illinois mother was charged with involuntary manslaughter  after allegedly failing to treat her 14-year-old daughter's diabetes for five years. https://www.buzzfeednews.com/article/ellievhall/mother-charged-daughter-death-diabetes?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546245180000
38,"Buckle up, here's a look at some of our biggest stories from 2018 📰 https://www.buzzfeednews.com/article/maggieschultz/buzzfeed-news-biggest-stories-of-2018?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546243380000
39,"This is how federal workers are coping with the government shutdown: ""My son made a comment where he said Santa didn't give us as much as he did last year, and that was heartbreaking,"" one employee told BuzzFeed News. https://www.buzzfeednews.com/article/salvadorhernandez/federal-workers-government-shutdown?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546241520000
40,Grab a bucket. Here’s a rundown of the riskiest foods in the US this year 🤮 https://www.buzzfeednews.com/article/venessawong/food-illness-outbreaks-2018?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546239720000
41,The list of companies that were attacked or that inadvertently exposed customers’ data in 2018 is a long one. https://www.buzzfeednews.com/article/nicolenguyen/what-to-do-if-you-were-hacked-in-2018?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546237860000
42,You might think Facebook had a bad year in 2018. But CEO Mark Zuckerberg said in a year-end post that at least progress was made. https://www.buzzfeednews.com/article/ryanmac/mark-zuckerberg-recap-2018-fix-facebook?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546236060000
43,Horror in 2018 seemed to get more thoughtful consideration than it has in years past. https://www.buzzfeednews.com/article/louispeitzman/best-horror-films-2018?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546234320000
44,A lion has been shot dead at a North Carolina zoo after it killed a 22-year-old intern who was cleaning its enclosure. https://www.buzzfeednews.com/article/claudiakoerner/a-lion-has-been-shot-dead-after-it-killed-a-zoo-employee?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546232520000
45,Padma Lakshmi says she felt compelled to tell her own #MeToo story after Trump expressed doubt over Christine Blasey Ford's allegations against  Brett Kavanaugh. https://www.buzzfeednews.com/article/michaelblackmon/padma-lakshmi-profile?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546230780000
46,"Slavery is thriving in Libya, where thousands of black Africans hoping to get to Europe instead find themselves bought and sold, forced to work for nothing, and facing torture at the hands of their owners. https://www.buzzfeednews.com/article/monicamark/slavery-nigeria-libya?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546229040000
47,"An arrested Sureño gang member, who's accused of murdering a California police officer, had no encounters with the ICE prior to the alleged shooting, immigration authorities say https://www.buzzfeednews.com/article/talalansari/immigration-officials-no-encounter-undocument-immigrant?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546227180000
48,"""I love the fact that so many of us got out and voted"": @angelayee says women of color winning big in the elections in 2018 filled her with the most black pride this year ✊🏾🗳  Catch #HellaOpinions live Wednesdays at 9pm ET, right here on Twitter 🍹 pic.twitter.com/XiZNgwlImk",1546226100000
49,"From Salt, Fat, Acid, Heat to Queer Eye to To All the Boys I've Loved Before, there are plenty of viewing options to make you feel warm inside while the outside world is cold. https://www.buzzfeednews.com/article/alannabennett/netflix-comfort-shows-movies?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546225320000
50,"Organizers of a Women's March in California have canceled the event over concerns that it would be ""overwhelmingly white."" https://www.buzzfeednews.com/article/briannasacks/a-california-womens-march-overwhelmingly-white?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1546223384000
51,2018 was one hell of a news year https://www.buzzfeednews.com/article/marisacarroll/these-stories-explain-2018-without-being-all-about-trump?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546221720000
52,A lot has happened with immigration policy in the US since Trump took office.   Here's a timeline to help you sort through it all https://www.buzzfeednews.com/article/adolfoflores/trump-immigration-policies-defeats-wins?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546219860000
53,One of the consistent themes of 2018 was the centrality of the legal system to nearly every major story that took over the news https://www.buzzfeednews.com/article/chrisgeidner/the-law-was-front-and-center-in-2018-because-trumps-actions?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546219020000
54,Padma Lakshmi says she felt compelled to tell her own #MeToo story after Trump expressed doubt over Christine Blasey Ford’s allegations against Supreme Court Justice Brett Kavanaugh   https://www.buzzfeednews.com/article/michaelblackmon/padma-lakshmi-profile?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1546218254000
