tweet,created_at,username
"A man was escorted out of a Baltimore theater after he allegedly yelled “Heil Hitler, Heil Trump” during a performance of Fiddler on the Roof. https://www.buzzfeednews.com/article/tasneemnashrulla/nazi-trump-slogan-fiddler-on-the-roof-baltimore?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542358860000,Buzzfeed
"WikiLeaks founder Julian Assange charged in US, papers show  https://bbc.in/2DIMeyd ",1542359683000,BBC
The New Jersey couple and the homeless man from that heartwarming GoFundMe story were charged with running a scam.  “They put out a story that hoodwinked an awful lot of people.” https://www.buzzfeednews.com/article/amberjamieson/homeless-new-jersey-couple-gofundme-mcclure-bobbitt?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542360660000,Buzzfeed
Japan PM in historic visit to Darwin 76 years after bombing https://bbc.in/2QREfBX ,1542361712000,BBC
"All flavored e-cigarette products other than tobacco, mint, and menthol will be sold only in age-restricted areas, like a separate vape shop or section of a store that prevents anyone under 18 from entering, the FDA told BuzzFeed News. https://www.buzzfeednews.com/article/leticiamiranda/fda-proposal-stores-vapes-flavored-tobacco-age-restricted?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542362520000,Buzzfeed
Viewpoint: Women's support does not justify regressive tradition https://bbc.in/2DGQVIG ,1542363127000,BBC
"How 'miniature suns' could provide cheap, clean energy 🌞🌞🌞 https://bbc.in/2QMxelw ",1542363363000,BBC
"Facebook has applied for a patent to predict who lives in your house based on family photos.  The technology would also analyze things like your photo captions, hashtags, and shared IP addresses. https://www.buzzfeednews.com/article/nicolenguyen/facebook-household-prediction-patent?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542364380000,Buzzfeed
We make catching up on the news more human.  Sign up for our daily newsletter 💛  https://bzfd.it/2yR6A3k ,1542364980000,Buzzfeed
The man accused of killing two black people at a Kentucky grocery store last month has been charged with hate crimes.  https://www.buzzfeednews.com/article/talalansari/kentucky-grocery-store-shooting-hate-crime-charges?bftwnews&utm_term=4ldqpgc#4ldqpgc …,1542366060000,Buzzfeed
The 'feminist' ruling angering Indian women https://bbc.in/2QRSQxe ,1542366641000,BBC
A conservative writer shared a creepshot of Congresswoman-elect Alexandria Ocasio-Cortez and was promptly ethered out of existence. https://www.buzzfeednews.com/article/claudiakoerner/conservative-writer-tweet-ocasio-cortez …,1542367860000,Buzzfeed
US to cut Africom troops amid focus on Russia and China https://bbc.in/2QKT0WT ,1542369632000,BBC
US 'preparing indictment against Julian Assange' of WikiLeaks https://bbc.in/2DFTWsJ ,1542369646000,BBC
Over 600 people are missing and at least 66 are dead in California's devastating wildfires. https://www.buzzfeednews.com/article/buzzfeednews/california-wildfires …,1542369660000,Buzzfeed
Lion Air crash: Boeing sued by victim's family over aircraft design https://bbc.in/2QIhVKU ,1542369990000,BBC
Akli Tadjer: French writer to meet students in school race row https://bbc.in/2QMZNj1 ,1542370598000,BBC
Preparing for the Oscars of Asia https://bbc.in/2DGd9ut ,1542370789000,BBC
Zimababwe's Nelson Chamisa calls MDC protesters 'stupid' https://bbc.in/2QRUm2p ,1542372181000,BBC
"Rare animal skeletons, including a slow loris and a hippopotamus skull, have been stolen from an Australian university museum https://www.buzzfeed.com/lanesainty/rare-animal-skeletons-stolen-university-museum?bftwnews&utm_term=4ldqpgc#4ldqpgc …",1542373080000,Buzzfeed
New Zealand students say word 'trivial' in exam confused them 🤔 https://bbc.in/2QL9SNl ,1542373567000,BBC
Japan Airlines tightens alcohol rules for pilots https://bbc.in/2QNqB2v ,1542373688000,BBC
